epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,473.687,0.99904,0.93753,1.48641,0.83901,0.48398,0.53298,0.26744,1.83377,2.06836,1.50305,1.34879e-05,1.34879e-05,1.34879e-05
90,480.64,0.6533,0.63824,1.01237,0.83901,0.48398,0.53298,0.26744,1.83377,2.06836,1.50305,1.25927e-05,1.25927e-05,1.25927e-05
91,487.629,0.45964,0.51485,0.89126,0.83901,0.48398,0.53298,0.26744,1.83377,2.06836,1.50305,1.16739e-05,1.16739e-05,1.16739e-05
92,494.649,0.71251,0.70201,0.99431,0.83583,0.48517,0.53533,0.27779,1.82396,2.03203,1.48303,1.07315e-05,1.07315e-05,1.07315e-05
93,501.568,0.47552,0.45633,0.98472,0.83583,0.48517,0.53533,0.27779,1.82396,2.03203,1.48303,9.76562e-06,9.76562e-06,9.76562e-06
94,508.335,0.54032,0.43415,0.88349,0.83583,0.48517,0.53533,0.27779,1.82396,2.03203,1.48303,8.77613e-06,8.77613e-06,8.77613e-06
95,515.008,0.43491,0.45036,0.89816,0.83583,0.48517,0.53533,0.27779,1.82396,2.03203,1.48303,7.76308e-06,7.76308e-06,7.76308e-06
96,521.262,0.43943,0.50691,0.96098,0.83975,0.46675,0.55523,0.29875,1.74289,1.95546,1.43185,6.72648e-06,6.72648e-06,6.72648e-06
97,524.179,0.69269,0.60728,1.05288,0.83975,0.46675,0.55523,0.29875,1.74289,1.95546,1.43185,5.6663e-06,5.6663e-06,5.6663e-06
98,527.178,0.51627,0.48967,0.91065,0.83975,0.46675,0.55523,0.29875,1.74289,1.95546,1.43185,4.58257e-06,4.58257e-06,4.58257e-06
99,530.13,0.47522,0.45742,0.90976,0.83975,0.46675,0.55523,0.29875,1.74289,1.95546,1.43185,3.47528e-06,3.47528e-06,3.47528e-06
100,533.25,0.55719,0.49042,1.00187,0.56572,0.52033,0.60762,0.35122,1.69534,1.87041,1.40788,2.34442e-06,2.34442e-06,2.34442e-06
